id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
114445,49532,Boboboubo Boubobo: Bakutou Hajike Taisen,NULL,2004-10-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99309,43676,King of Colosseum II,NULL,2004-10-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
167795,6399,EverGirl,NULL,2004-10-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
164455,2779,Tak 2: The Staff of Dreams,NULL,2004-10-11 00:00:00.000,3,NULL,77.5000,3,56.0000,3
155233,24250,SuperPower 2,NULL,2004-10-11 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
179718,4008,Midway Arcade Treasures 2,NULL,2004-10-11 00:00:00.000,NULL,NULL,50.0000,2,71.0000,0
180287,49261,Disney's Lilo & Stitch 2: Hämsterviel Havoc,NULL,2004-10-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
183895,171096,Magical Drop DX,NULL,2004-10-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
195638,1016,BloodRayne 2,"Rayne is a dhampir, born from the unnatural union of vampire and human. Her mixed heritage grants her vampiric powers and superior resistance to sunlight and water, but curses her with the bloodthirst of a vampire. She has defeated countless monsters both demonic and human, but now faces her most personal battle yet. Rayne must hunt down her very own siblings, who have banded together and pledged to carry on their father's legacy of creating a new era of vampire supremacy in which humans are mere cattle.",2004-10-12 00:00:00.000,18,NULL,64.0000,3,54.6088,55
190918,5883,Kingdom Under Fire: The Crusaders,NULL,2004-10-12 00:00:00.000,5,NULL,89.0000,1,63.3817,9
116096,1323,Ty the Tasmanian Tiger 2: Bush Rescue,NULL,2004-10-12 00:00:00.000,5,NULL,66.6667,3,62.5692,10
116270,210497,Ty the Tasmanian Tiger 2: Bush Rescue,NULL,2004-10-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107721,138090,World War II: Sniper - Call to Victory,NULL,2004-10-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3724,6685,WWE Survivor Series,NULL,2004-10-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
44697,214529,Sulkyland,NULL,2004-10-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
149673,45169,Barbie: The Princess and the Pauper,NULL,2004-10-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162402,1704,WarioWare: Twisted!,NULL,2004-10-14 00:00:00.000,3,NULL,90.0000,1,75.6657,18
108603,203358,Simple 2000 Ultimate Series Vol.20: Love Mahjong 2,NULL,2004-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130196,172551,Zombie Attack,NULL,2004-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49387,1471,Kururin Squash!,NULL,2004-10-14 00:00:00.000,NULL,NULL,70.0000,1,57.0000,0
55699,43602,Splatter Master,NULL,2004-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65662,43206,Sega Ages 2500 Vol. 16: Virtua Fighter 2,NULL,2004-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56415,14586,Seal of Evil,"The Seal of Evil story is set in the twilight years of the Warring States period of Chinese history (476 ? 206 BC). This turbulent time marks the disintegration of the longest lived of all imperial dynasties, the Zhou. Out of the strife and chaos emerges a nobleman possessed of an indomitable spirit and an uncompromising vision of the future: Ying Zheng, ruler of the Qin state. He will stop at nothing to reunite the disparate Chinese kingdoms. Combining ancient legends and mythic storytelling with historical fact, Seal of Evil sets the stage for an epic adventure wherein the players struggle to thwart the Qin invasion of their peaceful homeland, East Baiyue. Ferocious beasts, merciless enemy soldiers, wicked bandits, and terrifying supernatural foes are hazards they must face in order to achieve this goal. There is still hope for them, however, for along the way they will also make many friends and acquire powerful weapons and equipment. And armed with mighty elemental magic, they may yet come face to face with the very Gods themselves",2004-10-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145813,140987,The Mummy,Alex has the ability to jump and climb to overcome obstacles. To fight off enemies the player can fire his slingshot or fight the enemies with his bare hands. The talisman on Alex’s wrist gives him the ability to move objects and place them on a floor switch for example. Alex can also send his pet Tut to places that cannot be reached by himself and so activate a switch,2004-10-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179881,49203,Zoids: Legacy,NULL,2004-10-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
180590,79751,Dragon Ball Z: The Legacy of Goku I & II,NULL,2004-10-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174969,2796,All Grown Up!: Express Yourself,NULL,2004-10-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
163491,3437,Outlaw Golf 2,NULL,2004-10-19 00:00:00.000,NULL,NULL,65.0000,1,NULL,NULL
