id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
133371,7595,Creeper World,NULL,2007-07-07 00:00:00.000,4,NULL,NULL,NULL,98.2905,9
189194,44545,Dragon Age: Inquisition - Game of the Year Edition,NULL,2015-10-06 00:00:00.000,5,NULL,NULL,NULL,98.2090,15
190093,24493,Fate/Grand Order,NULL,2015-07-30 00:00:00.000,17,2,NULL,NULL,98.1037,32
181879,106819,Final Fantasy XIV: Complete Edition,NULL,2017-06-20 00:00:00.000,1,NULL,NULL,NULL,98.0364,8
193979,45181,Mass Effect Trilogy,NULL,2012-12-04 00:00:00.000,19,NULL,NULL,NULL,98.0151,77
188714,119445,Rolling Gunner,"The year is 2061 and nearly three decades have passed since the new metallic element ""Busterium"" was discovered by the Lerman Matsunaga corporation at the bottom of the Pacific Ocean. Utilizing this new alloy, Lerman Matsunaga developed a new clean energy engine called the Buster Engine, which was globally adopted and quickly replaced fossil fuel and nuclear-based engines. With nearly all of the world's engines now being centrally powered and controlled by a fully automated computer system called BAC, the unthinkable has happened: BAC has gained intelligence and has turned against humanity.

With humanity on the verge of extinction, a secret internal division of Lerman Matsunaga had the foresight to design a special weapon against BAC: the Rolling Gun. Operated and controlled via brain implant, humanity's fate now rests in the hands of a courageous RF-42R STORK pilot who must set out to destroy BAC at the old Lerman Matsunaga building, which has been turned into a near impenetrable BAC fort. This is the last hope for humankind.

And now the final hope takes flight...",2018-08-10 00:00:00.000,NULL,NULL,NULL,NULL,98.0000,3
138889,132234,All Over,"All Over ...and now your tale begins! In the kingdom of Abelon it takes wits and strength to survive, our hero, who has no idea who he is, faces powerful creatures and puzzles that even the wisest of the elders find difficult to solve. You are the hero!",2020-04-06 00:00:00.000,4,NULL,NULL,NULL,98.0000,5
151404,28278,Catan Universe,NULL,2017-04-25 00:00:00.000,NULL,NULL,NULL,NULL,97.7509,7
133632,10496,Wizardry: Bane of the Cosmic Forge,"Llylgamyn is not what it once was.

The kingdom has fallen and its people have moved on.

Five generations after the defeat of the Maelstrom a new King was born. So loved was he that the royal family was once again granted merit in the political system of Llylgamyn. Eventually the council decided to dissolve and to restore exclusive rulership royal family.

It was not long for the true colors of the King to shine through. Rumors quickly spread throughout the kingdom of his alliance with demonic beings, and his dabble in the dark arts. His queen was whispered to be a perverse harlot, torturing men of the kingdom for her own pleasure. In an attempt to gain more power, the King joined forces with an unknown wizard. Together they began to wage magical war on other planes of existence. During one of their battles they became aware of an artifact of amazing power.

The Cosmic Forge.

The Cosmic Forge is a magical pen of divine power. No one is sure of it's origin, but it is said then whatever words were written with the pen would we woven into the fabric of the universe, and thus would become reality.

The King and the Wizard managed to obtain the pen, they scripted things so unspeakable that no man can attempt to even imagine the horrors. Fortunately the two soon became jealous of the power that they had discovered, and they engaged each other in an epic battle.

Legends say that the lights of magic could be seen flashing in the windows of the castle, and the very ground shook. Eventually everything fell quiet, and neither the King nor the wizard were seen again.

That was nearly one hundred and twenty years ago. The kingdom is no more, it's name is remembered by very few. No one know what happened to the king, the wizard, or the pen. But now, a group of adventurers is about enter the ancient castle, and all that is about to change....",1990-12-31 00:00:00.000,4,NULL,NULL,NULL,97.7365,13
189678,112191,Epic Seven,NULL,2018-11-08 00:00:00.000,5,1,79.0000,2,97.4338,6
